,Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes
149,1,0,0,1,0,54,844,3,3,4,0
150,1,0,1,1,1,42,3094,2,2,3,0
151,1,0,1,1,0,47,3465,1,1,4,13
152,1,1,1,1,0,29,1035,5,4,5,0
153,1,0,1,2,0,36,237,2,2,2,0
154,1,0,1,1,1,50,3175,5,5,3,0
155,1,0,0,2,0,31,760,1,4,1,17
156,0,0,0,2,0,13,853,4,5,4,105
157,0,1,1,2,0,24,446,5,4,5,0
158,1,0,1,1,1,60,1071,3,3,1,0
159,1,0,0,2,0,42,728,3,3,2,0
160,1,0,1,1,1,57,2585,4,4,4,0
161,1,0,1,1,1,42,707,3,3,3,27
162,0,1,1,2,1,20,861,2,5,2,0
163,1,0,0,2,0,51,719,4,4,3,19
164,0,0,1,1,1,45,1790,5,5,4,0
165,1,0,1,0,1,26,680,5,5,5,12
166,0,1,1,2,0,26,888,5,3,5,51
167,1,0,0,2,0,24,1660,3,2,3,0
168,0,0,1,2,1,49,578,1,4,5,162
169,1,0,1,2,1,17,606,5,2,5,15
170,1,0,1,1,1,39,1487,4,4,3,7
171,1,0,1,1,1,49,317,4,4,5,0
172,1,0,0,2,0,48,844,4,4,3,0
173,0,0,1,1,1,52,3747,4,4,5,24
174,1,0,1,1,1,25,2748,3,4,3,0
175,1,0,1,1,0,16,1503,3,3,3,0
176,0,0,1,1,1,58,1717,4,4,4,0
177,0,1,1,1,0,8,1117,3,4,3,0
178,0,0,1,1,1,42,1372,5,4,4,141
179,1,0,1,1,0,52,2768,4,4,4,0
180,1,0,1,2,1,47,370,5,5,4,0
181,1,0,0,2,0,69,1546,1,1,3,1
182,1,0,0,2,0,47,1023,4,1,4,0
183,1,0,1,1,1,41,3636,4,4,2,0
184,1,0,0,2,0,40,1325,1,4,1,0
185,1,0,0,2,0,56,2556,5,5,2,0
186,0,0,1,1,1,41,1052,4,4,4,6
187,1,0,1,2,0,40,773,3,4,3,15
188,0,0,0,1,0,12,817,1,5,1,0
189,0,0,0,2,1,59,516,1,4,1,3
190,1,0,0,2,0,21,447,2,5,2,34
191,0,0,0,2,0,12,462,2,2,2,0
192,0,0,1,2,0,31,361,1,3,1,0
193,1,0,0,2,0,37,125,2,3,2,6
194,1,0,0,2,1,38,271,2,4,2,0
195,0,0,0,2,0,45,173,2,4,2,0
196,0,0,1,1,1,43,1950,4,4,5,0
197,1,0,0,2,0,52,719,3,3,3,0
198,1,0,1,1,0,57,153,2,3,2,0
199,1,0,0,1,0,13,337,1,2,1,0
200,1,0,1,1,1,45,3732,5,5,4,17
201,1,0,1,1,1,43,3854,5,5,3,0
202,0,0,1,2,0,53,977,2,3,2,20
203,0,0,1,1,1,23,3073,5,1,5,0
204,1,0,0,2,0,16,1379,2,4,2,2
205,0,0,1,2,0,23,631,2,4,2,0
206,0,0,0,2,0,45,666,4,5,4,0
207,1,0,1,1,1,46,2820,5,5,3,1
208,1,0,0,2,0,49,577,1,1,3,23
209,1,0,1,1,0,40,2808,3,4,3,7
210,1,0,1,1,1,19,2172,4,4,4,0
211,1,0,0,2,0,48,1192,1,2,1,0
212,1,0,1,1,0,64,1773,2,2,4,0
214,0,0,0,2,0,23,1749,3,4,3,97
215,1,0,1,1,1,38,3753,4,4,1,0
216,0,0,0,2,0,41,214,2,5,2,16
217,0,0,0,2,0,29,1020,1,3,1,0
218,0,0,1,0,1,47,368,4,2,4,0
219,0,0,0,0,0,50,1448,4,4,4,20
220,1,0,0,2,0,18,1127,3,4,3,0
221,1,0,0,2,0,20,545,5,3,5,4
222,1,0,1,1,1,41,3238,4,4,4,0
223,1,0,0,2,0,12,2466,1,5,1,0
224,1,0,0,2,0,36,2715,4,3,2,0
225,0,0,1,1,1,49,337,4,4,3,10
226,1,0,0,2,0,55,1608,5,5,2,0
227,1,0,1,1,0,43,3004,2,3,2,0
228,1,1,1,1,0,49,980,3,5,3,11
229,1,1,1,2,0,35,1462,3,1,3,0
230,0,0,1,1,1,45,1521,5,5,4,0
231,1,0,1,1,1,28,862,5,1,5,9
232,0,0,1,1,1,60,1833,4,4,2,0
233,0,0,1,1,0,35,2398,2,2,3,0
234,1,1,1,1,0,38,349,4,4,4,29
235,0,0,1,1,1,48,1722,4,4,1,0
236,1,0,0,2,0,65,578,3,3,3,99
237,0,0,0,0,0,30,163,1,4,1,9
238,1,0,0,2,0,51,395,3,3,1,0
239,0,1,1,2,1,23,416,4,5,4,18
240,1,0,1,2,0,37,977,3,3,3,0
241,0,0,1,1,1,23,3095,5,4,5,9
242,0,0,1,1,0,32,738,4,4,4,0
243,0,0,0,2,0,67,719,1,3,1,24
244,0,0,0,1,0,65,226,4,4,3,37
245,1,0,1,1,1,48,1943,5,5,5,0
246,0,0,1,1,1,60,2371,4,4,3,66
247,1,0,1,1,0,31,551,3,3,3,53
248,0,0,1,0,1,22,493,4,2,4,19
249,0,1,1,2,0,27,925,5,5,5,4
250,1,0,0,2,0,19,405,1,4,1,0
251,1,1,1,2,0,26,1055,4,4,4,0
252,0,0,1,2,0,72,305,4,3,4,0
253,1,0,1,1,1,34,589,5,5,5,0
254,1,0,1,1,1,45,1587,4,4,3,0
255,0,0,1,1,0,51,3090,2,2,1,0
256,1,1,1,2,0,26,804,4,4,4,7
257,1,0,0,2,0,12,719,1,4,1,0
258,1,0,1,0,0,72,67,3,3,3,28
259,0,0,1,2,1,45,550,4,3,4,0
260,1,0,1,1,1,22,2809,5,4,5,36
261,1,0,0,2,0,53,552,5,5,5,0
262,1,1,1,1,0,33,356,4,5,4,12
263,1,0,0,1,0,46,119,4,4,3,13
264,0,0,1,1,1,54,1545,5,5,4,1
265,1,0,1,2,0,40,819,4,3,4,23
266,1,0,1,1,0,37,1801,2,2,4,0
267,1,0,1,1,1,35,1658,5,3,3,6
268,1,1,1,1,1,26,114,4,5,4,0
269,1,0,1,2,1,62,128,5,5,1,0
270,0,0,1,1,1,58,813,3,3,3,0
271,1,0,0,2,0,55,349,2,2,3,0
272,1,0,1,1,0,60,1508,3,3,2,15
273,1,0,0,2,0,15,89,5,4,5,0
274,0,0,0,2,0,67,157,5,3,5,45
275,0,0,1,1,1,43,2828,3,3,5,39
276,0,0,1,1,1,30,3131,5,4,5,7
277,1,0,1,2,1,42,718,5,5,1,0
278,0,0,1,1,1,40,1959,4,5,4,209
279,0,0,1,1,1,47,3496,5,5,4,0
280,0,0,1,1,0,38,2300,4,4,2,60
281,1,0,0,2,0,25,2845,1,2,3,0
282,0,1,1,2,0,26,406,5,1,3,149
283,0,0,0,2,0,66,580,4,5,4,26
284,1,0,1,2,0,69,735,1,1,2,12
285,1,0,1,1,0,22,1722,2,3,2,0
286,0,0,0,0,0,8,1201,3,1,3,24
287,1,1,1,1,1,37,372,4,5,4,11
288,1,0,0,2,0,69,1072,1,1,4,18
289,0,0,1,2,0,28,733,4,3,4,15
290,0,0,1,0,0,51,1075,2,4,2,5
291,1,0,0,2,0,46,2586,2,3,4,59
292,0,1,1,1,1,39,140,4,4,4,0
293,1,1,1,0,0,21,903,1,3,1,35
294,0,0,1,1,1,46,2423,4,4,5,1
295,1,0,1,1,1,36,3130,5,5,3,62
296,0,0,1,1,1,60,2198,4,4,3,23
297,0,0,1,0,0,23,602,2,4,2,21
298,0,0,0,2,1,52,685,4,5,4,0
299,0,0,1,2,1,36,1208,4,2,4,3
300,0,0,1,1,1,41,2789,4,4,5,10
301,0,0,1,1,1,45,3305,4,4,3,8
302,0,0,0,2,0,67,2342,5,3,5,0
303,1,0,1,1,1,45,3712,4,4,5,0
304,1,0,0,2,0,56,1431,1,1,5,91
305,1,1,1,2,0,62,255,2,3,2,113
306,1,0,1,1,0,30,3720,2,3,2,27
307,0,0,1,2,1,48,1107,4,4,4,0
308,1,0,1,1,1,32,2999,4,5,4,28
309,1,0,1,1,1,30,2438,2,5,2,38
310,1,1,1,1,0,40,156,4,5,4,0
311,0,0,1,1,1,42,3665,4,4,3,83
312,1,0,1,1,1,52,2917,3,4,5,15
313,0,0,1,1,1,50,1235,5,5,3,0
314,1,0,0,0,0,18,549,2,4,2,0
315,0,0,1,1,1,30,1500,5,4,5,0
316,1,1,1,2,0,26,190,1,4,1,0
317,0,1,1,1,1,37,468,4,4,4,0
318,0,0,0,2,0,64,261,1,3,1,0
319,0,1,1,1,1,21,255,2,5,2,0
320,1,0,1,1,0,52,1609,3,3,3,0
321,1,0,1,1,1,52,413,5,5,3,4
322,1,0,0,2,0,29,119,5,3,5,0
323,1,0,0,2,0,13,387,1,3,1,16
324,0,0,1,1,1,28,1087,5,4,5,0
325,0,0,0,2,0,13,323,2,4,2,15
326,0,0,0,2,0,16,282,5,5,5,8
327,0,0,1,1,1,58,1721,4,4,5,18
328,0,1,1,2,0,24,347,5,4,5,0
329,0,0,1,1,0,25,3465,2,3,2,0
330,0,0,0,2,0,34,948,4,4,4,0
331,1,0,1,1,1,44,1707,5,5,3,0
332,1,0,0,0,0,23,1372,1,3,1,0
333,0,1,1,1,1,20,369,1,4,1,0
334,0,0,0,2,0,8,552,3,2,3,0
335,1,0,1,2,0,26,1188,1,4,1,0
336,0,0,1,2,0,43,1005,5,4,5,0
337,1,0,1,1,0,72,1870,2,2,4,0
338,1,0,1,2,1,48,896,2,2,1,12
339,0,0,0,2,0,27,429,3,4,3,0
340,0,0,1,1,0,25,1796,1,3,4,176
341,0,1,1,2,0,26,842,5,3,5,38
342,0,1,1,1,0,16,1107,1,3,1,0
343,1,1,1,1,0,36,327,5,5,5,0
344,0,0,0,1,0,55,432,3,2,5,0
345,1,1,1,2,1,23,577,5,4,5,0
346,0,0,1,1,0,50,1877,2,2,4,0
347,1,0,1,1,1,45,1123,5,5,3,0
348,0,0,1,1,1,57,1749,5,5,4,19
349,1,0,1,1,1,50,2454,3,3,5,46
350,1,0,0,2,0,42,270,4,4,4,0
351,1,0,1,1,1,34,1825,5,5,3,13
352,1,1,1,0,0,17,191,4,4,4,39
353,0,0,1,1,1,45,679,5,5,4,0
354,1,0,1,1,1,59,812,2,2,4,0
355,0,0,1,2,1,39,1056,5,4,5,20
356,0,0,1,1,0,28,101,2,3,2,0
357,1,0,0,2,0,44,73,1,1,1,0
358,0,0,0,2,1,9,936,4,5,4,22
359,1,0,1,2,0,24,287,5,2,5,0
360,1,0,0,2,0,37,255,3,4,3,0
361,1,1,1,2,1,25,317,5,2,5,9
362,0,0,1,1,1,22,2027,4,4,4,7
363,0,0,1,1,1,55,936,3,3,5,0
364,0,0,1,2,1,53,432,4,3,4,0
365,1,0,1,1,1,46,888,4,4,4,0
366,0,0,0,2,1,62,1061,5,5,5,0
367,1,0,1,1,1,53,216,5,5,4,0
368,1,0,1,1,1,50,1814,5,5,4,0
369,0,0,1,1,1,57,2993,4,4,3,0
370,1,0,1,1,1,54,2632,3,3,5,0
371,1,0,1,1,1,42,199,5,4,5,0
372,0,0,0,2,0,17,802,4,3,4,0
373,1,0,1,1,1,53,581,4,4,3,1
374,0,0,1,1,1,49,1938,4,4,4,22
375,1,0,1,0,1,37,174,5,5,5,0
376,0,0,1,2,1,35,326,4,5,4,0
377,0,0,1,1,0,30,1821,2,2,2,5
378,1,0,0,2,0,16,1437,5,4,5,0
379,0,0,1,1,1,46,3995,5,5,4,0
380,1,0,1,1,0,51,1488,2,2,2,73
381,0,0,0,2,0,70,1892,1,4,1,0
382,0,1,1,1,0,26,502,5,4,5,53
383,0,0,1,1,1,46,2491,4,4,3,0
384,1,0,0,2,0,12,944,1,4,1,20
385,0,0,1,1,1,25,496,4,5,4,0
386,1,0,1,1,1,63,329,4,4,3,0
387,1,0,1,1,1,48,402,4,4,3,0
388,1,0,1,1,1,43,3946,4,4,4,0
389,1,0,1,1,1,35,337,4,4,5,54
390,1,0,1,1,1,32,2133,4,5,4,0
391,0,0,0,2,0,44,192,4,4,4,0
392,0,0,0,2,0,60,491,5,2,5,22
393,1,0,0,2,0,20,1120,2,4,2,0
394,1,0,0,2,0,10,1440,4,3,4,0
395,1,0,1,1,0,51,140,3,2,2,0
396,1,0,0,2,0,22,451,2,5,2,0
397,1,0,0,2,0,42,798,3,3,3,1
398,0,0,1,1,1,32,3607,5,5,5,0
399,0,0,0,2,0,24,1096,1,4,1,1
400,1,0,1,1,1,43,373,5,5,3,0
401,0,0,0,2,0,7,405,4,4,4,3
402,0,0,1,1,1,29,2542,5,1,5,18
403,1,0,1,0,1,48,907,4,4,5,0
404,0,1,1,2,0,25,1258,1,3,2,199
405,0,0,0,2,0,25,550,1,4,1,56
406,1,0,1,1,1,35,602,2,2,4,0
407,1,0,1,2,0,57,1399,2,2,4,3
408,0,0,1,1,1,52,3245,5,5,3,93
409,1,0,1,2,1,17,677,4,5,4,0
410,1,0,0,2,0,30,1616,1,4,1,70
411,0,0,1,1,1,38,1561,5,5,5,0
412,1,0,1,1,1,38,285,4,4,5,0
413,1,1,1,1,0,38,1189,3,5,3,3
414,0,1,1,2,1,23,1021,3,5,3,0
415,1,0,1,1,1,39,2442,4,4,4,80
416,1,0,1,1,0,55,918,1,1,4,12
417,1,1,1,1,0,25,545,5,5,5,0
418,0,0,1,1,0,59,459,4,4,3,0
419,1,0,0,0,0,9,804,1,5,1,0
420,1,1,1,1,1,26,569,3,4,3,96
421,0,0,1,1,1,51,3991,4,4,3,0
422,0,0,1,1,1,40,1620,5,5,5,0
423,0,0,1,1,0,56,1173,3,3,1,0
424,1,0,0,2,0,56,236,4,4,5,57
425,1,0,0,2,0,18,134,3,3,3,0
426,1,0,0,0,0,8,647,2,3,2,0
427,0,0,1,0,1,33,654,4,2,4,0
428,0,0,1,1,1,46,2623,5,5,5,0
429,1,0,1,1,0,41,209,2,4,2,95
430,1,0,1,1,1,36,257,4,4,1,0
431,0,0,1,1,1,26,1629,5,2,5,0
432,1,1,1,2,0,36,371,5,2,5,11
433,0,0,1,1,1,31,2201,2,3,2,0
434,0,0,0,2,0,24,836,1,1,1,27
435,1,0,1,1,1,39,3081,2,2,4,7
436,1,1,1,2,0,20,859,4,3,4,3
437,1,0,0,2,0,69,1055,2,2,3,29
438,1,1,1,2,0,27,399,5,3,5,0
439,1,0,1,2,0,10,632,3,4,3,44
440,0,0,1,1,1,60,3626,5,5,5,35
441,0,0,1,1,1,44,833,4,4,4,15
442,1,0,0,2,0,68,1288,4,4,5,6
443,0,0,1,1,0,41,2163,3,3,4,60
444,1,0,1,2,0,46,645,2,4,3,141
445,0,0,1,2,0,54,515,3,3,3,44
446,1,0,1,1,0,44,3767,2,1,2,44
447,0,1,0,2,1,43,888,4,4,4,0
448,1,1,1,1,1,44,288,4,4,4,0
449,1,1,1,1,0,26,1024,5,4,5,16
450,0,0,1,1,1,48,3185,5,5,5,0
451,0,0,1,1,1,30,2974,4,4,4,74
452,1,0,1,1,1,46,2981,5,5,3,1
453,0,1,1,2,0,23,1428,2,5,2,0
454,0,0,1,1,1,39,2454,5,5,3,0
455,0,0,1,1,1,24,3482,4,5,4,0
456,1,0,0,2,0,48,296,2,2,3,0
457,0,0,0,2,0,63,391,5,5,5,0
458,0,0,1,1,1,37,3744,5,4,5,172
459,0,0,1,1,0,37,1558,4,4,3,0
460,0,0,1,1,1,57,1389,5,5,5,0
461,0,0,0,2,0,21,1947,1,3,1,0
462,0,0,1,2,0,9,776,2,3,2,16
463,1,0,1,1,1,24,3536,4,5,4,0
464,0,1,1,1,0,36,414,3,5,3,0
465,0,0,1,1,1,44,3165,4,4,3,0
466,1,0,1,1,0,49,1600,0,2,3,0
467,0,0,1,1,1,42,3605,4,4,3,0
468,1,0,0,2,1,52,247,5,5,3,0
469,0,0,1,2,0,52,550,2,3,2,0
470,0,0,0,2,0,20,446,1,4,1,0
471,0,0,1,1,1,47,728,5,5,3,0
472,0,0,1,1,0,45,3692,2,2,4,63
473,1,0,1,1,1,44,3979,4,4,3,0
474,1,0,1,1,0,47,3546,2,2,2,19
475,1,0,1,1,1,57,177,5,3,5,91
476,1,0,1,1,1,34,760,3,3,3,6
477,1,0,1,2,1,26,2378,4,5,4,4
478,1,0,1,1,1,45,228,3,3,5,0
479,1,0,1,1,1,33,163,4,3,3,0
480,0,1,1,2,0,22,251,2,5,2,0
481,0,0,1,1,1,51,406,4,4,4,9
482,0,0,0,2,1,60,624,1,2,4,175
483,0,0,1,1,1,40,3764,4,4,3,16
484,0,0,1,2,0,62,696,2,2,2,24
485,1,0,0,2,0,68,746,2,2,3,27
486,0,0,1,1,0,38,2930,2,2,3,7
487,0,0,1,1,1,44,192,5,5,3,23
488,0,0,0,2,0,11,507,1,4,1,11
489,1,0,0,2,0,33,226,2,4,2,0
490,1,0,0,0,0,10,338,5,4,5,0
491,0,0,1,0,1,51,380,2,3,2,16
492,0,0,1,1,1,34,3144,5,5,1,3
493,0,0,1,1,0,69,3714,4,4,1,0
494,1,0,1,1,1,49,90,4,4,3,0
495,0,0,1,0,0,30,204,2,4,2,105
496,1,0,0,2,0,40,399,1,2,1,0
497,1,0,0,0,0,29,802,2,4,2,0
498,0,0,0,2,0,68,406,3,3,3,0
499,1,0,1,0,0,53,676,2,2,3,0
500,1,0,1,1,1,24,1476,5,4,5,0
501,0,0,1,1,1,43,3677,4,4,5,2
502,0,0,0,1,0,7,1034,5,3,4,143
503,1,0,0,1,0,65,1042,4,2,5,48
504,1,0,0,2,0,8,597,2,5,2,0
505,0,0,0,2,0,50,1635,4,5,4,0
506,0,0,0,0,0,26,2556,4,4,4,0
507,1,0,0,2,0,24,859,2,4,2,37
508,1,0,0,2,0,55,1236,5,5,5,0
509,1,1,1,2,0,21,192,1,3,1,0
510,1,0,1,2,1,57,649,4,4,3,27
511,0,0,1,1,1,22,936,4,1,4,0
512,1,0,0,2,0,49,484,4,4,3,0
513,1,0,0,2,0,31,2279,3,5,3,0
514,0,1,1,2,1,21,1444,4,4,1,1
515,1,1,1,1,1,38,1389,2,5,2,3
516,1,0,1,1,0,42,1846,1,1,4,0
517,0,0,1,1,1,55,1884,4,5,5,4
518,0,1,1,1,0,26,285,3,3,3,0
519,0,0,1,1,0,43,2256,1,1,2,19
520,0,0,0,2,0,12,2342,4,4,4,31
521,1,0,1,2,0,32,163,2,4,2,0
522,1,0,1,1,1,46,2502,4,4,5,5
523,0,0,1,2,0,19,337,4,3,4,12
524,1,0,1,1,1,38,261,4,4,3,0
525,1,0,1,1,1,52,332,4,4,3,1
526,0,1,1,2,0,47,707,3,3,3,16
527,0,0,0,2,0,19,888,1,4,1,1
528,1,0,0,2,0,43,301,4,2,5,0
529,1,0,1,2,0,23,130,2,3,2,8
530,0,0,1,1,1,45,3052,3,3,3,0
531,1,0,0,2,1,58,2405,3,3,2,10
532,0,1,1,2,0,25,2585,3,4,3,0
533,1,0,0,2,0,68,666,1,1,5,2
534,1,0,1,1,1,64,3239,4,4,3,0
535,0,0,1,1,1,57,2718,5,5,4,2
536,1,0,1,1,0,43,362,4,4,3,47
537,0,0,1,1,1,28,3545,5,5,5,45
538,0,1,1,2,0,30,813,3,4,3,105
539,0,0,1,1,1,23,1698,5,1,5,101
540,0,1,1,1,1,37,148,4,5,4,1
541,0,0,1,1,1,54,544,4,4,5,0
542,1,0,1,1,1,40,3011,5,5,4,9
543,0,0,1,2,1,47,783,5,1,5,0
544,1,1,1,1,1,24,255,3,4,3,0
545,1,0,0,2,0,25,140,4,3,4,27
546,1,0,1,0,1,40,809,4,2,4,118
547,1,0,1,1,1,38,2472,5,5,5,0
548,1,0,1,2,1,45,175,3,3,1,0
549,1,0,0,0,0,29,331,3,5,3,0
550,1,0,1,1,1,42,2243,2,2,5,18
551,1,1,1,2,0,42,1874,3,3,3,0
552,0,1,1,2,0,27,326,5,1,5,5
553,0,1,1,1,0,38,130,1,4,1,15
554,1,0,0,2,0,64,1158,4,4,3,0
555,0,0,1,1,0,46,2074,4,4,3,27
556,0,0,1,1,1,46,1635,2,2,5,26
557,1,0,1,1,1,53,1744,2,2,4,0
558,0,0,0,2,0,48,1703,4,1,4,45
559,1,0,0,2,0,9,883,1,3,1,28
560,0,0,1,1,1,39,1979,4,4,3,0
561,0,0,0,2,0,16,306,5,5,5,76
562,0,0,0,2,0,29,992,5,5,5,0
563,1,0,1,1,1,41,2077,5,5,3,0
564,0,0,1,1,1,51,3304,5,5,5,0
565,1,0,1,1,1,42,2274,5,5,3,0
566,0,0,1,1,1,51,1084,4,4,4,0
